Title,Category Path,Category,Category ID,Type,Category Level,Heading Level
Legacy Thoughts,Introduction,About,no match,Story,1,3
When were you born?,Introduction > My Birth,Birth,no match,Story,2,3
,Introduction > My Birth,Birth,no match,Story,2,3
,Introduction > My Birth,Birth,no match,Story,2,3
,Introduction > My Birth,Birth,no match,Story,2,3
,Introduction > My Birth,Birth,no match,Story,2,3
Where were you born?,Introduction > My Birth,Birth,no match,Story,2,3
"Like
James?",Introduction > My Birth > What�s the story behind your name?,Birth,no match,Story,3,4
What was happening in the world when you were born?,Introduction > My Birth,Birth,no match,Story,2,3
How much did things cost in 1959?,Introduction > My Birth,Birth,no match,Story,2,3
What is the story behind the family names?,Introduction > Family Names,Family Names,no match,Story,2,3
The Bond Side,Introduction > Family Names > What do you know about the family origins?,Family Names,no match,Story,3,4
The Bond Motto,Introduction > Family Names > What do you know about the family origins?,Family Names,no match,Story,3,4
The Davis Side,Introduction > Family Names > What do you know about the family origins?,Family Names,no match,Story,3,4
The Davis Motto,Introduction > Family Names > What do you know about the family origins?,Family Names,no match,Story,3,4
My Parents,Introduction,Family Names,no match,Story,1,2
When was your father born?,Introduction > My Father,Father,no match,Story,2,3
Where was your father born?,Introduction > My Father,Father,no match,Story,2,3
Did your father have any siblings?,Introduction > My Father,Father,no match,Story,2,3
What was he like when he was younger?,Introduction > My Father,Father,no match,Story,2,3
"What did your father
do for a living?",Introduction > My Father,Father,no match,Story,2,3
Newspaper Delivery,Introduction > My Father > What beliefs or values did he instill in you?,Father,no match,Story,3,4
Slingshot,Introduction > My Father > What beliefs or values did he instill in you?,Father,no match,Story,3,4
"Heart
of Gold",Introduction > My Father > What beliefs or values did he instill in you?,Father,no match,Story,3,4
Vacations,Introduction > My Father > What beliefs or values did he instill in you?,Father,no match,Story,3,4
No College,Introduction > My Father > What beliefs or values did he instill in you?,Father,no match,Story,3,4
Navy Service,Introduction > My Father > What beliefs or values did he instill in you?,Father,no match,Story,3,4
First Priority,Introduction > My Father > What beliefs or values did he instill in you?,Father,no match,Story,3,4
Fear of Mice,Introduction > My Father > What beliefs or values did he instill in you?,Father,no match,Story,3,4
Saturday Morning Post Office,Introduction > My Father > What beliefs or values did he instill in you?,Father,no match,Story,3,4
"No
Role Model",Introduction > My Father > What beliefs or values did he instill in you?,Father,no match,Story,3,4
Care for Others,Introduction > My Father > What qualities did you get from your father?,Father,no match,Story,3,4
Success From Humble Beginnings,Introduction > My Father > What do you admire most about your father?,Father,no match,Story,3,4
Making Decisions,Introduction > My Father > What do you admire most about your father?,Father,no match,Story,3,4
Tribute to My Father,Introduction > My Father > What do you admire most about your father?,Father,no match,Story,3,4
When was your mother born?,Introduction > My Mother,Mother,no match,Story,2,3
Where was your mother born?,Introduction > My Mother,Mother,no match,Story,2,3
Did your mother have any siblings?,Introduction > My Mother,Mother,no match,Story,2,3
Dedication,Introduction > My Mother > What was she like when she was younger?,Mother,no match,Story,3,4
What qualities did you get from your mother?,Introduction > My Mother,Mother,no match,Story,2,3
What things do you admire the most about your mother?,Introduction > My Mother,Mother,no match,Story,2,3
How did your parents meet?,Introduction > Their Partnership,Parents,no match,Story,2,3
What Was Your Name Again?,Introduction > Their Partnership > What stories do you remember of them dating?,Parents,no match,Story,3,4
Don�t You Ever Talk?,Introduction > Their Partnership > What stories do you remember of them dating?,Parents,no match,Story,3,4
When did they get married?,Introduction > Their Partnership,Parents,no match,Story,2,3
"Are you more like your father or your
mother? In what ways?",Introduction > Their Partnership,Parents,no match,Story,2,3
Were your parents strict or relaxed?,Introduction > Their Partnership,Parents,no match,Story,2,3
Did you ever rebel?,Introduction > Their Partnership,Parents,no match,Story,2,3
"What was your relationship with your parents like when you were a child,
teenager, or adult?",Introduction > Their Partnership,Parents,no match,Story,2,3
"What was an important lesson parents taught, lived by shared with kids?",Introduction > Their Partnership,Parents,no match,Story,2,3
Did you have any siblings?,Introduction > My Siblings,Siblings,no match,Story,2,3
How far apart in age are you?,Introduction > My Siblings,Siblings,no match,Story,2,3
Injury Prone,Introduction > My Siblings > What was it like being so close in age?,Siblings,no match,Story,3,4
What was it like being the oldest?,Introduction > My Siblings,Siblings,no match,Story,2,3
"How
similar or different are you?",Introduction > My Siblings,Siblings,no match,Story,2,3
What did you do together?,Introduction > My Siblings,Siblings,no match,Story,2,3
How did your parents handle discipline?,Introduction > My Siblings,Siblings,no match,Story,2,3
Who took care of you during the day?,Introduction > My Siblings,Siblings,no match,Story,2,3
What family activities were common?,Introduction > My Siblings,Siblings,no match,Story,2,3
What conflicts do you remember?,Introduction > My Siblings,Siblings,no match,Story,2,3
My Cousins,Introduction,Cousins,no match,Story,1,2
They Are People Too,Introduction > My Grand Parents > What reflections do you have about your grandparents?,Paternal Grandfather,no match,Story,3,4
"Who
was your paternal grandfather?","Introduction > My
Paternal Grandfather",Paternal Grandfather,no match,Story,2,3
What impact did he have on your life?,"Introduction > My
Paternal Grandfather",Paternal Grandfather,no match,Story,2,3
Orange Grove,"Introduction > My
Paternal Grandfather > What stories do you remember about him?",Paternal Grandfather,no match,Story,3,4
