Title,Category Path,Category,Category ID,Type,Category Level,Heading Level
,Introduction > My Birth,Birth,no match,Story,2,3
,Introduction > My Birth,Birth,no match,Story,2,3
,Introduction > My Birth,Birth,no match,Story,2,3
,Introduction > My Birth,Birth,no match,Story,2,3
The Davis Side,Introduction > Family Names > What do you know about the family origins?,Family Names,no match,Story,3,4
My Parents,Introduction,Family Names,no match,Story,1,2
My Cousins,Introduction,Cousins,no match,Story,1,2
What impact did she have on your life?,Introduction > My Paternal Grandmother,Paternal Grandmother,no match,Story,2,3
My Maternal Step-Grandmother,Introduction,Maternal Step Grandmother,no match,Story,1,2
What impact did she have on your life?,Introduction > ,Maternal Step Grandmother,no match,Story,2,3
What stories do you remember about her?,Introduction > ,Maternal Step Grandmother,no match,Story,2,3
Childhood,,Preschool,no match,Story,0,1
Elementary Reflection,Preschool > Elementary School,Elementary,no match,Story,2,3
Personal,Preschool > Elementary School,Elementary,no match,Story,2,3
What achievements were you proud of?,Preschool > Elementary School,Elementary,no match,Story,2,3
Family,Preschool > Elementary School,Elementary,no match,Story,2,3
Social,Preschool > Elementary School,Elementary,no match,Story,2,3
What memorable social experiences?,Preschool > Elementary School,Elementary,no match,Story,2,3
Personal,Preschool > High School,High School,no match,Story,2,3
How did your interests evolve?,Preschool > High School,High School,no match,Story,2,3
What challenged you most?,Preschool > High School,High School,no match,Story,2,3
What achievements meant most?,Preschool > High School,High School,no match,Story,2,3
What learning experiences did you have?,Preschool > High School,High School,no match,Story,2,3
Social,Preschool > High School,High School,no match,Story,2,3
What did you do for fun?,Preschool > High School,High School,no match,Story,2,3
Did you date?,Preschool > High School,High School,no match,Story,2,3
What adventures did you have?,Preschool > High School,High School,no match,Story,2,3
Family,Preschool > High School,High School,no match,Story,2,3
How did your relationship with parents/siblings change?,Preschool > High School,High School,no match,Story,2,3
What role did you play in the family?,Preschool > High School,High School,no match,Story,2,3
What family conflicts occurred?,Preschool > High School,High School,no match,Story,2,3
How did discipline change?,Preschool > High School,High School,no match,Story,2,3
How did your family support you?,Preschool > High School,High School,no match,Story,2,3
What family gatherings occurred?,Preschool > High School,High School,no match,Story,2,3
What freedoms did you gain?,Preschool > High School,High School,no match,Story,2,3
What rules did you have?,Preschool > High School,High School,no match,Story,2,3
How did family meals change?,Preschool > High School,High School,no match,Story,2,3
Cultural,Preschool > High School,High School,no match,Story,2,3
What cultural events impacted you?,Preschool > High School,High School,no match,Story,2,3
What TV shows did you watch?,Preschool > High School,High School,no match,Story,2,3
What business/economic conditions affected you?,Preschool > High School,High School,no match,Story,2,3
Personal,Preschool > Childhood Reflection,Childhood Reflection,no match,Reflection,2,3
"Were you well-behaved
or a rebel?",Preschool > Childhood Reflection,Childhood Reflection,no match,Reflection,2,3
What shaped your identity?,Preschool > Childhood Reflection,Childhood Reflection,no match,Reflection,2,3
What roles did you take on?,Preschool > Childhood Reflection,Childhood Reflection,no match,Reflection,2,3
How did your values evolve?,Preschool > Childhood Reflection,Childhood Reflection,no match,Reflection,2,3
What beliefs changed?,Preschool > Childhood Reflection,Childhood Reflection,no match,Reflection,2,3
What principles guided you?,Preschool > Childhood Reflection,Childhood Reflection,no match,Reflection,2,3
How did your faith/spirituality develop?,Preschool > Childhood Reflection,Childhood Reflection,no match,Reflection,2,3
What ethical challenges arose?,Preschool > Childhood Reflection,Childhood Reflection,no match,Reflection,2,3
What caused you to question beliefs?,Preschool > Childhood Reflection,Childhood Reflection,no match,Reflection,2,3
What convictions strengthened?,Preschool > Childhood Reflection,Childhood Reflection,no match,Reflection,2,3
What changes surprised you?,Preschool > Childhood Reflection,Childhood Reflection,no match,Reflection,2,3
Who did you want to become?,Preschool > Childhood Reflection,Childhood Reflection,no match,Reflection,2,3
What were your aspirations?,Preschool > Childhood Reflection,Childhood Reflection,no match,Reflection,2,3
How did plans change?,Preschool > Childhood Reflection,Childhood Reflection,no match,Reflection,2,3
What inspired you?,Preschool > Childhood Reflection,Childhood Reflection,no match,Reflection,2,3
What successes encouraged you?,Preschool > Childhood Reflection,Childhood Reflection,no match,Reflection,2,3
What fears did you face?,Preschool > Childhood Reflection,Childhood Reflection,no match,Reflection,2,3
What disappoints did you experience?,Preschool > Childhood Reflection,Childhood Reflection,no match,Reflection,2,3
How did you spend free time?,Preschool > Childhood Reflection,Childhood Reflection,no match,Reflection,2,3
What hobbies did you develop?,Preschool > Childhood Reflection,Childhood Reflection,no match,Reflection,2,3
What adventures did you have?,Preschool > Childhood Reflection,Childhood Reflection,no match,Reflection,2,3
What travel experiences occurred?,Preschool > Childhood Reflection,Childhood Reflection,no match,Reflection,2,3
What lifestyle choices did you make?,Preschool > Childhood Reflection,Childhood Reflection,no match,Reflection,2,3
What new skills did you learn?,Preschool > Childhood Reflection,Childhood Reflection,no match,Reflection,2,3
How did you handle money?,Preschool > Childhood Reflection,Childhood Reflection,no match,Reflection,2,3
What situations challenged you?,Preschool > Childhood Reflection,Childhood Reflection,no match,Reflection,2,3
How did you make decisions?,Preschool > Childhood Reflection,Childhood Reflection,no match,Reflection,2,3
What mistakes taught you most?,Preschool > Childhood Reflection,Childhood Reflection,no match,Reflection,2,3
How did you solve problems?,Preschool > Childhood Reflection,Childhood Reflection,no match,Reflection,2,3
What cultural trends affected you?,Preschool > Childhood Reflection,Childhood Reflection,no match,Reflection,2,3
What social issues concerned you?,Preschool > Childhood Reflection,Childhood Reflection,no match,Reflection,2,3
What lifestyle choices were common?,Preschool > Childhood Reflection,Childhood Reflection,no match,Reflection,2,3
How did your generation differ?,Preschool > Childhood Reflection,Childhood Reflection,no match,Reflection,2,3
Social,Preschool > Childhood Reflection,Social,no match,Story,2,3
Companionship,Preschool > Childhood Reflection,Boy/Girlfriend,no match,Story,2,3
What dating or relationship experiences shaped you?,Preschool > Childhood Reflection,Boy/Girlfriend,no match,Story,2,3
What did you learn about relationships?,Preschool > Childhood Reflection,Boy/Girlfriend,no match,Story,2,3
How did your views on love change?,Preschool > Childhood Reflection,Boy/Girlfriend,no match,Story,2,3
