Story Readable ID,Story Title,Current Category Readable ID,Current Category Name,Current Category Level,Parent,Order,Current Category Path,Suggested Parent Readable ID,Suggested Parent Name,
1960,1960,1960,1960,4,,,The Decades > The 1960�s > Business > 1960,business,Business,
1961,1961,1961,1961,4,,,The Decades > The 1960�s > Business > 1961,business,Business,
1962,1962,1962,1962,4,,,The Decades > The 1960�s > Business > 1962,business,Business,
1963,1963,1963,1963,4,,,The Decades > The 1960�s > Business > 1963,business,Business,
1964,1964,1964,1964,4,,,The Decades > The 1960�s > Business > 1964,business,,
1965,1965,1965,1965,4,,,The Decades > The 1960�s > Business > 1965,business,,
1966,1966,1966,1966,4,,,The Decades > The 1960�s > Business > 1966,business,Business,
1967,1967,1967,1967,4,E&B,,The Decades > The 1960�s > Business > 1967,business,E&B,
1968,1968,1968,1968,4,,,The Decades > The 1960�s > Business > 1968,business,Business,
1969,1969,1969,1969,4,,,The Decades > The 1960�s > Business > 1969,business,Business,
1972,1972,1972,1972,4,,,The Decades > The 1970�s - Economics > 1972,the-1970-s-economics,,
1973,1973,1973,1973,4,,,The Decades > The 1970�s - Economics > 1973,the-1970-s-economics,The 1970�s - Economics,
1974,1974,1974,1974,4,,,The Decades > The 1970�s - Economics > 1974,the-1970-s-economics,The 1970�s - Economics,
1977,1977,1977,1977,4,,,The Decades > The 1970�s - Economics > 1977,the-1970-s-economics,,
1979,1979,1979,1979,4,,,The Decades > The 1970�s - Economics > 1979,the-1970-s-economics,The 1970�s - Economics,
1980,1980,1980,1980,4,,,The Decades > The 1980�s > Business� > 1980,business,,
1981,1981,1981,1981,4,,,The Decades > The 1980�s > Business� > 1981,business,Business�,
1982,1982,1982,1982,4,,,The Decades > The 1980�s > Business� > 1982,business,Business,
1983,1983,1983,1983,4,,,The Decades > The 1980�s > Business� > 1983,business,,
1984,1984,1984,1984,4,,,The Decades > The 1980�s > Business� > 1984,business,Business,
1985,1985,1985,1985,4,,,The Decades > The 1980�s > Business� > 1985,business,Business�,
1986,1986,1986,1986,4,,,The Decades > The 1980�s > Business� > 1986,business,,
1987,1987,1987,1987,4,,,The Decades > The 1980�s > Business� > 1987,business,,
1988,1988,1988,1988,4,,,The Decades > The 1980�s > Business� > 1988,business,,
1989,1989,1989,1989,4,,,The Decades > The 1980�s > Business� > 1989,business,Business�,
1990,1990,1990,1990,4,,,The Decades > The 1990�s > 1990,the-1990-s,,
1991,1991,1991,1991,4,,,The Decades > The 1990�s > 1991,the-1990-s,The 1990�s,
1992,1992,1992,1992,4,,,The Decades > The 1990�s > 1992,the-1990-s,The 1990�s,
1993,1993,1993,1993,4,,,The Decades > The 1990�s > 1993,the-1990-s,The 1990�s,
1994,1994,1994,1994,4,,,The Decades > The 1990�s > 1994,the-1990-s,,
1995,1995,1995,1995,4,,,The Decades > The 1990�s > 1995,the-1990-s,,
1996,1996,1996,1996,4,,,The Decades > The 1990�s > 1996,the-1990-s,The 1990�s,
1997,1997,1997,1997,4,,,The Decades > The 1990�s > 1997,the-1990-s,The 1990�s,
1998,1998,1998,1998,4,,,The Decades > The 1990�s > 1998,the-1990-s,The 1990�s,
1999,1999,1999,1999,4,,,The Decades > The 1990�s > 1999,the-1990-s,The 1990�s,
2000,2000,2000,2000,4,,,"The Decades > The
2000�s > 2000",the-2000-s,"The
2000�s",
2001,2001,2001,2001,4,,,"The Decades > The
2000�s > 2001",the-2000-s,,
2002,2002,2002,2002,4,,,"The Decades > The
2000�s > 2002",the-2000-s,"The
2000�s",
2003,2003,2003,2003,4,,,"The Decades > The
2000�s > 2003",the-2000-s,"The
2000�s",
2004,2004,2004,2004,4,,,"The Decades > The
2000�s > 2004",the-2000-s,,
2005,2005,2005,2005,4,,,"The Decades > The
2000�s > 2005",the-2000-s,,
2006,2006,2006,2006,4,,,"The Decades > The
2000�s > 2006",the-2000-s,,
2007,2007,2007,2007,4,,,"The Decades > The
2000�s > 2007",the-2000-s,,
2008,2008,2008,2008,4,,,"The Decades > The
2000�s > 2008",the-2000-s,"The
2000�s",
2009,2009,2009,2009,4,,,"The Decades > The
2000�s > 2009",the-2000-s,,
2010,2010,2010,2010,4,,,The Decades > The 2010�s > Business > 2010,business,Business,
2011,2011,2011,2011,4,,,The Decades > The 2010�s > Business > 2011,business,Business,
2012,2012,2012,2012,4,,,The Decades > The 2010�s > Business > 2012,business,,
2013,2013,2013,2013,4,,,The Decades > The 2010�s > Business > 2013,business,Business,
2014,2014,2014,2014,4,,,The Decades > The 2010�s > Business > 2014,business,Business,
2015,2015,2015,2015,4,,,The Decades > The 2010�s > Business > 2015,business,,
2016,2016,2016,2016,4,,,The Decades > The 2010�s > Business > 2016,business,Business,
2017,2017,2017,2017,4,,,The Decades > The 2010�s > Business > 2017,business,Business,
2018,2018,2018,2018,4,,,The Decades > The 2010�s > Business > 2018,business,Business,
2019,2019,2019,2019,4,,,The Decades > The 2010�s > Business > 2019,business,Business,
2020,2020,2020,2020,4,,,The Decades > The 2020�s > Business > 2020,business,,
2021,2021,2021,2021,4,,,The Decades > The 2020�s > Business > 2021,business,Business,
2022,2022,2022,2022,4,,,The Decades > The 2020�s > Business > 2022,business,Business,
2023,2023,2023,2023,4,,,The Decades > The 2020�s > Business > 2023,business,Business,
2024,2024,2024,2024,4,,,The Decades > The 2020�s > Business > 2024,business,,
2025,2025,2025,2025,4,E&B,,The Decades > The 2020�s > Business > 2025,business,E&B,
11-Sep,11-Sep,11-Sep,11-Sep,4,,,THEMES > Historical Events > What cultural shifts influenced you? > 9/11,what-cultural-shifts,W&P,
1970,"1970,",1970,"1970,",4,,,"The Decades > The 1970�s - Economics > 1970,",the-1970-s-economics,The 1970�s - Economics,
1971,"1971,",1971,"1971,",4,,,"The Decades > The 1970�s - Economics > 1971,",the-1970-s-economics,The 1970�s - Economics,
1975,"1975,",1975,"1975,",4,,,"The Decades > The 1970�s - Economics > 1975,",the-1970-s-economics,The 1970�s - Economics,
1976,"1976,",1976,"1976,",4,,,"The Decades > The 1970�s - Economics > 1976,",the-1970-s-economics,,
1978,"1978,",1978,"1978,",4,,,"The Decades > The 1970�s - Economics > 1978,",the-1970-s-economics,The 1970�s - Economics,
1982-was-a-very-good-year,1982 was a very good year!,1982-was-a-very-good-year,1982 was a very good year!,4,,,Adulthood > College > What traditions did you participate in? > 1982 was a very good year!,what-traditions-did-you,College,
a-mother-s-crush,A Mother�s Crush,a-mother-s-crush,A Mother�s Crush,4,,,THEMES > Music > What did you listen to over the years? > A Mother�s Crush,what-did-you-listen-to-over,Music,
academic-turnaround,Academic Turnaround,academic-turnaround,Academic Turnaround,4,,,Adulthood > College > What memories do you have of college? > Academic Turnaround,what-memories-do-you-have-of,college,
aguardiente,Aguardiente,aguardiente,Aguardiente,4,,,Adulthood > Graduate School > How did you choose a major? > Aguardiente,how-did-you-choose-a-major,Graduate School,
alumni-relations,Alumni Relations,alumni-relations,Alumni Relations,4,,,Adulthood > Career > University of South Carolina > Alumni Relations,university-of-south-carolina,University of South Carolina,
ancient-communication-method,Ancient Communication Method,ancient-communication-method,Ancient Communication Method,4,,,Adulthood > Career > University of South Carolina > Ancient Communication Method,university-of-south-carolina,University of South Carolina,
apartment-roommate,Apartment Roommate,apartment-roommate,Apartment Roommate,4,,,Adulthood > Graduate School > How did you choose a major? > Apartment Roommate,how-did-you-choose-a-major,Graduate School,
are-you-more-like-your-father,"Are you more like your father or your
mother? In what ways?",are-you-more-like-your-father,"Are you more like your father or your
mother? In what ways?",3,,,"Introduction > Their Partnership > Are you more like your father or your
mother? In what ways?",their-partnership,My Parents,
arrogance-cost-me,Arrogance Cost Me,arrogance-cost-me,Arrogance Cost Me,4,,,"Adulthood > College > Why
did you transfer to Clemson? > Arrogance Cost Me",why-did-you-transfer-to,College,
artificial-intelligence,Artificial Intelligence,artificial-intelligence,Artificial Intelligence,4,,,"THEMES > Technology > What inventions have had the biggest impact
on your day-to-day life? > Artificial Intelligence",what-inventions-have-had-the,S&T,
ask-for-what-you-re-worth,Ask For What You�re Worth,ask-for-what-you-re-worth,Ask For What You�re Worth,4,,,Adulthood > Career > Harris/3M > Ask For What You�re Worth,harris-3m,Harris/3M,
associate-director-of,Associate Director of Corporate Relations,associate-director-of,Associate Director of Corporate Relations,4,,,Adulthood > Career > University of South Carolina > Associate Director of Corporate Relations,university-of-south-carolina,University of South Carolina,
audi,Audi,audi,Audi,4,Cars,,"THEMES > Cars > How did you learn to
drive? > Audi",how-did-you-learn-to-drive,Cars,
award-winning-decorations,Award Winning Decorations,award-winning-decorations,Award Winning Decorations,4,,,Preschool > Elementary School > What do you remember outside of school about this time? > Award Winning Decorations,what-do-you-remember-outside,Elementary School,
bachelor-party,Bachelor Party,bachelor-party,Bachelor Party,4,,,THEMES > Vacations > Bachelor Party,vacations,Vacations,
bambi,Bambi,bambi,Bambi,4,,,Preschool > Elementary School > What do you remember outside of school about this time? > Bambi,what-do-you-remember-outside,Elementary School,
basketball,Basketball,basketball,Basketball,4,Graduate School,,Adulthood > Graduate School > How did you choose a major? > Basketball,how-did-you-choose-a-major,Graduate School,
battle-scars,"Battle
Scars",battle-scars,"Battle
Scars",4,,,"Preschool > Elementary School > What do you remember outside of school about this time? > Battle
Scars",what-do-you-remember-outside,Elementary School,
beer,Beer,beer,Beer,4,,,THEMES > Miscellaneous > Favorites > Beer,favorites,Favorites,
being-a-father,Being a Father,being-a-father,Being a Father,3,,,Adulthood > Parenthood > Being a Father,parenthood,Parenthood,
best-shape-of-my-life,Best Shape of My Life,best-shape-of-my-life,Best Shape of My Life,4,,,Adulthood > College > What memories do you have of college? > Best Shape of My Life,what-memories-do-you-have-of,College,
best-trip,Best trip,best-trip,Best trip,4,,,THEMES > Music > Did you ever take any great road trips? > Best trip,did-you-ever-take-any-great,Travel,
best-worst,Best/worst,best-worst,Best/worst,4,Parenthood,,"THEMES > My Children > William,
Elizabeth, and Caroline > Best/worst",william-elizabeth-and-caroline,Parenthood,
bicycles-in-the-mud,Bicycles in the Mud,bicycles-in-the-mud,Bicycles in the Mud,4,,,Preschool > Elementary School > What do you remember outside of school about this time? > Bicycles in the Mud,what-do-you-remember-outside,Elementary School,
big-brother-tricks,Big Brother Tricks,big-brother-tricks,Big Brother Tricks,4,,,Preschool > Elementary School > What do you remember outside of school about this time? > Big Brother Tricks,what-do-you-remember-outside,Elementary School,
blackberry-picking,Blackberry Picking,blackberry-picking,Blackberry Picking,4,,,Preschool > What do you remember from this period? > Blackberry Picking,what-do-you-remember-from-this,Presechool,
body-surfing,Body Surfing,body-surfing,Body Surfing,4,,,THEMES > Vacations > Body Surfing,vacations,Vacations,
bottle-collecting,Bottle Collecting,bottle-collecting,Bottle Collecting,4,Career,,Adulthood > Career > What were your first odd jobs? > Bottle Collecting,what-were-your-first-odd-jobs,Career,
boy-scout-accident,Boy Scout Accident,boy-scout-accident,Boy Scout Accident,4,,,Preschool > Elementary School > What do you remember outside of school about this time? > Boy Scout Accident,what-do-you-remember-outside,Elementary School,
brady,Brady,brady,Brady,4,,,Adulthood > Family > Marriage > Brady,marriage,Pets,
brick-on-a-string,Brick on a String,brick-on-a-string,Brick on a String,4,,,Preschool > Elementary School > What do you remember outside of school about this time? > Brick on a String,what-do-you-remember-outside,Elementary School,
burning-leaves,Burning Leaves,burning-leaves,Burning Leaves,4,,,Preschool > Elementary School > What do you remember outside of school about this time? > Burning Leaves,what-do-you-remember-outside,Elementary School,
burning-leaves,Burning Leaves,burning-leaves,Burning Leaves,4,,,Preschool > Elementary School > What do you remember outside of school about this time? > Burning Leaves,what-do-you-remember-outside,Elementary School,
business,Business,business,Business,3,,,The Decades > The 2020�s > Business,the-2020-s,The 2020�s,
business,Business�,business,Business�,3,,,The Decades > The 1980�s > Business�,the-1980-s,The 1980�s,
caf-con-leche,Caf� con Leche,caf-con-leche,Caf� con Leche,4,,,Adulthood > Graduate School > How did you choose a major? > Caf� con Leche,how-did-you-choose-a-major,Graduate School,
cameras,Cameras,cameras,Cameras,4,,,"THEMES > Technology > What inventions have had the biggest impact
on your day-to-day life? > Cameras",what-inventions-have-had-the,S&T,
camp-greenville,Camp Greenville,camp-greenville,Camp Greenville,4,,,Preschool > Elementary School > What do you remember outside of school about this time? > Camp Greenville,what-do-you-remember-outside,Elementary,
capitalism-versus-socialism,Capitalism versus Socialism,capitalism-versus-socialism,Capitalism versus Socialism,3,,,THEMES > Issues > Capitalism versus Socialism,issues,Issues,
care-for-others,Care for Others,care-for-others,Care for Others,4,,,Introduction > My Father > What qualities did you get from your father? > Care for Others,what-qualities-did-you-get,My Father,
caroline,Caroline,caroline,Caroline,3,,,Adulthood > Parenthood > Caroline,parenthood,Parenthood,
cars,Cars,cars,Cars,4,,,"THEMES > Technology > What inventions have had the biggest impact
on your day-to-day life? > Cars",what-inventions-have-had-the,S&T,
casualty-reports,Casualty Reports,casualty-reports,Casualty Reports,4,,,Preschool > Middle School > What world events do you remember? > Casualty Reports,what-world-events-do-you,Middle School,
cement-fight,Cement Fight,cement-fight,Cement Fight,4,,,Preschool > Elementary School > What do you remember outside of school about this time? > Cement Fight,what-do-you-remember-outside,Elementary School,
chief-financial-officer,Chief Financial Officer,chief-financial-officer,Chief Financial Officer,4,,,Adulthood > Career > Dune Medical > Chief Financial Officer,dune-medical,Dune Medical,
chief-financial-officer,Chief Financial Officer,chief-financial-officer,Chief Financial Officer,4,,,Adulthood > Career > Dune Medical > Chief Financial Officer,dune-medical,Dune Medical,
chief-financial-officer,"Chief Financial Officer, Americas",chief-financial-officer,"Chief Financial Officer, Americas",4,,,"Adulthood > Career > Given Imaging > Chief Financial Officer, Americas",given-imaging,Given Imaging,
christmas-tree,Christmas Tree,christmas-tree,Christmas Tree,4,,,Preschool > Elementary School > What do you remember outside of school about this time? > Christmas Tree,what-do-you-remember-outside,Elementary School,
clemson-football-games,Clemson Football Games,clemson-football-games,Clemson Football Games,4,,,THEMES > Vacations > Clemson Football Games,vacations,Vacations,
